instance,nodes,solved,done_reason,makespan,lowerbound
J6027_8.RCP,62,1,search_exhausted,88,88
J6027_9.RCP,31687,0,time_limit,77,76
J6028_1.RCP,62,1,search_exhausted,92,92
J6028_10.RCP,62,1,search_exhausted,74,74
J6028_2.RCP,62,1,search_exhausted,64,64
J6028_3.RCP,62,1,search_exhausted,72,72
J6028_4.RCP,62,1,search_exhausted,84,84
J6028_5.RCP,62,1,search_exhausted,71,71
J6028_6.RCP,62,1,search_exhausted,89,89
J6028_7.RCP,62,1,search_exhausted,75,75
J6028_8.RCP,62,1,search_exhausted,62,62
J6028_9.RCP,62,1,search_exhausted,74,74
J6029_1.RCP,45252,0,time_limit,146,59
J6029_10.RCP,43348,0,time_limit,157,70
J6029_2.RCP,43628,0,time_limit,165,88
J6029_3.RCP,49186,0,time_limit,155,72
J6029_4.RCP,45165,0,time_limit,168,75
J6029_5.RCP,41473,0,time_limit,137,77
J6029_6.RCP,48262,0,time_limit,187,77
J6029_7.RCP,48196,0,time_limit,141,73
J6029_8.RCP,44155,0,time_limit,122,72
J6029_9.RCP,44989,0,time_limit,143,70
J602_1.RCP,101,1,search_exhausted,65,65
J602_10.RCP,36552,0,time_limit,72,64
J602_2.RCP,62,1,search_exhausted,82,82
J602_3.RCP,31197,0,time_limit,78,77
J602_4.RCP,5930,1,search_exhausted,78,78
J602_5.RCP,32496,0,time_limit,56,53
J602_6.RCP,34032,0,time_limit,74,61
J602_7.RCP,33183,0,time_limit,53,49
J602_8.RCP,62,1,search_exhausted,66,66
J602_9.RCP,25422,1,search_exhausted,65,65
J6030_1.RCP,42810,0,time_limit,81,70
J6030_10.RCP,42963,0,time_limit,116,81
J6030_2.RCP,39569,0,time_limit,80,65
J6030_3.RCP,39335,0,time_limit,103,80
J6030_4.RCP,62,1,search_exhausted,76,76
J6030_5.RCP,34799,0,time_limit,83,72
J6030_6.RCP,47143,0,time_limit,74,68
J6030_7.RCP,40551,0,time_limit,92,77
J6030_8.RCP,43304,0,time_limit,75,63
J6030_9.RCP,42161,0,time_limit,118,98
J6031_1.RCP,62,1,search_exhausted,65,65
J6031_10.RCP,38781,0,time_limit,66,56
J6031_2.RCP,33867,0,time_limit,75,74
J6031_3.RCP,36608,0,time_limit,67,66
J6031_4.RCP,2230,1,search_exhausted,68,68
J6031_5.RCP,62,1,search_exhausted,72,72
J6031_6.RCP,37257,0,time_limit,80,72
J6031_7.RCP,7440,1,search_exhausted,76,76
J6031_8.RCP,7563,1,search_exhausted,75,75
J6031_9.RCP,62,1,search_exhausted,86,86
J6032_1.RCP,62,1,search_exhausted,69,69
J6032_10.RCP,62,1,search_exhausted,77,77
J6032_2.RCP,62,1,search_exhausted,114,114
J6032_3.RCP,62,1,search_exhausted,85,85
J6032_4.RCP,62,1,search_exhausted,56,56
J6032_5.RCP,62,1,search_exhausted,77,77
J6032_6.RCP,62,1,search_exhausted,93,93
J6032_7.RCP,62,1,search_exhausted,76,76
J6032_8.RCP,62,1,search_exhausted,76,76
J6032_9.RCP,62,1,search_exhausted,74,74
J6033_1.RCP,41114,0,time_limit,126,90
J6033_10.RCP,44607,0,time_limit,92,69
J6033_2.RCP,46083,0,time_limit,103,100
J6033_3.RCP,38252,0,time_limit,83,77
J6033_4.RCP,44211,0,time_limit,83,75
J6033_5.RCP,39864,0,time_limit,120,97
J6033_6.RCP,41546,0,time_limit,93,65
J6033_7.RCP,38715,0,time_limit,81,66
J6033_8.RCP,38828,0,time_limit,90,74
J6033_9.RCP,44484,0,time_limit,108,102
J6034_1.RCP,42282,0,time_limit,81,67
J6034_10.RCP,39855,0,time_limit,93,92
J6034_2.RCP,38220,0,time_limit,76,65
J6034_3.RCP,40393,0,time_limit,64,61
J6034_4.RCP,62,1,search_exhausted,83,83
J6034_5.RCP,13876,1,search_exhausted,80,80
J6034_6.RCP,38828,0,time_limit,81,77
J6034_7.RCP,39213,0,time_limit,85,83
J6034_8.RCP,40559,0,time_limit,66,61
J6034_9.RCP,6748,1,search_exhausted,77,77
J6035_1.RCP,38382,0,time_limit,90,78
J6035_10.RCP,36504,1,search_exhausted,71,71
J6035_2.RCP,131,1,search_exhausted,77,77
J6035_3.RCP,40170,0,time_limit,96,87
J6035_4.RCP,92,1,search_exhausted,72,72
J6035_5.RCP,39553,0,time_limit,76,75
J6035_6.RCP,2840,1,search_exhausted,79,79
J6035_7.RCP,62,1,search_exhausted,73,73
J6035_8.RCP,39218,0,time_limit,78,75
J6035_9.RCP,38890,0,time_limit,78,73
J6036_1.RCP,62,1,search_exhausted,61,61
J6036_10.RCP,62,1,search_exhausted,77,77
J6036_2.RCP,62,1,search_exhausted,75,75
J6036_3.RCP,62,1,search_exhausted,81,81
J6036_4.RCP,62,1,search_exhausted,85,85
J6036_5.RCP,62,1,search_exhausted,57,57
J6036_6.RCP,62,1,search_exhausted,76,76
J6036_7.RCP,62,1,search_exhausted,71,71
J6036_8.RCP,62,1,search_exhausted,69,69
J6036_9.RCP,62,1,search_exhausted,86,86
J6037_1.RCP,49891,0,time_limit,121,70
J6037_10.RCP,39403,0,time_limit,122,86
J6037_2.RCP,49411,0,time_limit,113,68
J6037_3.RCP,41684,0,time_limit,184,97
J6037_4.RCP,42464,0,time_limit,127,75
J6037_5.RCP,48392,0,time_limit,122,80
J6037_6.RCP,45959,0,time_limit,122,62
J6037_7.RCP,46226,0,time_limit,137,75
J6037_8.RCP,40953,0,time_limit,123,79
J6037_9.RCP,38937,0,time_limit,128,77
J6038_1.RCP,35596,0,time_limit,74,73
J6038_10.RCP,36729,0,time_limit,69,63
J6038_2.RCP,39087,0,time_limit,89,71
J6038_3.RCP,40050,0,time_limit,83,76
J6038_4.RCP,37311,0,time_limit,63,58
J6038_5.RCP,73,1,search_exhausted,103,103
J6038_6.RCP,198,1,search_exhausted,86,86
J6038_7.RCP,34429,0,time_limit,78,74
J6038_8.RCP,39098,0,time_limit,90,68
J6038_9.RCP,37855,0,time_limit,70,66
J6039_1.RCP,18753,1,search_exhausted,80,80
J6039_10.RCP,62,1,search_exhausted,74,74
J6039_2.RCP,1078,1,search_exhausted,84,84
J6039_3.RCP,62,1,search_exhausted,83,83
J6039_4.RCP,8348,1,search_exhausted,92,92
J6039_5.RCP,38063,0,time_limit,75,73
J6039_6.RCP,39792,0,time_limit,84,83
J6039_7.RCP,8299,1,search_exhausted,68,68
J6039_8.RCP,969,1,search_exhausted,77,77
J6039_9.RCP,62,1,search_exhausted,72,72
J603_1.RCP,24428,1,search_exhausted,60,60
J603_10.RCP,29606,0,time_limit,70,67
J603_2.RCP,62,1,search_exhausted,69,69
J603_3.RCP,30801,0,time_limit,105,102
J603_4.RCP,62,1,search_exhausted,81,81
J603_5.RCP,62,1,search_exhausted,83,83
J603_6.RCP,34135,0,time_limit,68,57
J603_7.RCP,36077,0,time_limit,59,58
J603_8.RCP,33365,0,time_limit,59,52
J603_9.RCP,39595,0,time_limit,67,63
J6040_1.RCP,62,1,search_exhausted,86,86
J6040_10.RCP,62,1,search_exhausted,73,73
J6040_2.RCP,62,1,search_exhausted,81,81
J6040_3.RCP,62,1,search_exhausted,70,70
J6040_4.RCP,62,1,search_exhausted,87,87
J6040_5.RCP,62,1,search_exhausted,83,83
J6040_6.RCP,62,1,search_exhausted,69,69
J6040_7.RCP,62,1,search_exhausted,68,68
J6040_8.RCP,62,1,search_exhausted,80,80
J6040_9.RCP,62,1,search_exhausted,90,90
J6041_1.RCP,39384,0,time_limit,153,91
J6041_10.RCP,43008,0,time_limit,152,71
J6041_2.RCP,47175,0,time_limit,140,81
J6041_3.RCP,47815,0,time_limit,133,58
J6041_4.RCP,41994,0,time_limit,155,100
J6041_5.RCP,42661,0,time_limit,169,67
J6041_6.RCP,57780,0,time_limit,159,82
J6041_7.RCP,42660,0,time_limit,181,79
J6041_8.RCP,45179,0,time_limit,175,95
J6041_9.RCP,44118,0,time_limit,184,80
J6042_1.RCP,37491,0,time_limit,84,83
J6042_10.RCP,42871,0,time_limit,93,87
J6042_2.RCP,38705,0,time_limit,73,68
J6042_3.RCP,41152,0,time_limit,90,73
J6042_4.RCP,47384,0,time_limit,121,94
J6042_5.RCP,38844,0,time_limit,76,73
J6042_6.RCP,46915,0,time_limit,90,82
J6042_7.RCP,37246,0,time_limit,68,55
J6042_8.RCP,40195,0,time_limit,97,78
J6042_9.RCP,39373,0,time_limit,76,70
J6043_1.RCP,47422,0,time_limit,111,108
J6043_10.RCP,41712,0,time_limit,81,78
J6043_2.RCP,8960,1,search_exhausted,85,85
J6043_3.RCP,62,1,search_exhausted,74,74
J6043_4.RCP,41049,0,time_limit,83,74
J6043_5.RCP,101,1,search_exhausted,64,64
J6043_6.RCP,842,1,search_exhausted,84,84
J6043_7.RCP,62,1,search_exhausted,89,89
J6043_8.RCP,16570,1,search_exhausted,69,69
J6043_9.RCP,37386,0,time_limit,73,70
J6044_1.RCP,62,1,search_exhausted,84,84
J6044_10.RCP,62,1,search_exhausted,65,65
J6044_2.RCP,62,1,search_exhausted,68,68
J6044_3.RCP,62,1,search_exhausted,87,87
J6044_4.RCP,62,1,search_exhausted,77,77
J6044_5.RCP,62,1,search_exhausted,74,74
J6044_6.RCP,62,1,search_exhausted,81,81
J6044_7.RCP,62,1,search_exhausted,76,76
J6044_8.RCP,62,1,search_exhausted,83,83
J6044_9.RCP,62,1,search_exhausted,65,65
J6045_1.RCP,45358,0,time_limit,119,71
J6045_10.RCP,48168,0,time_limit,137,61
J6045_2.RCP,40789,0,time_limit,184,78
J6045_3.RCP,37832,0,time_limit,173,86
J6045_4.RCP,50225,0,time_limit,130,60
