
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  CPU-Time[sec.]
J3031_3.RCP         58          58       58       0.0%           0.032
J3031_4.RCP         50          50       50       0.0%           0.033
J3031_5.RCP         53          48       52       1.9%          60.063
J3031_6.RCP         53          53       53       0.0%           0.091
J3031_7.RCP         61          61       61       0.0%           0.034
J3031_8.RCP         58          58       58       0.0%           0.043
J3031_9.RCP         50          46       50       0.0%          60.077
J3032_1.RCP         61          61       61       0.0%           0.102
J3032_10.RCP        51          51       51       0.0%           0.033
J3032_2.RCP         60          60       60       0.0%           0.032
J3032_3.RCP         57          57       57       0.0%           0.034
J3032_4.RCP         68          68       68       0.0%           0.032
J3032_5.RCP         54          54       54       0.0%           0.031
J3032_6.RCP         44          44       44       0.0%           0.040
J3032_7.RCP         35          35       35       0.0%           0.033
J3032_8.RCP         54          54       54       0.0%           0.032
J3032_9.RCP         65          65       65       0.0%           0.032
J3033_1.RCP         65          65       65       0.0%           1.937
J3033_10.RCP        53          53       53       0.0%           0.137
J3033_2.RCP         60          60       60       0.0%           4.410
J3033_3.RCP         55          55       55       0.0%          22.507
J3033_4.RCP         77          77       77       0.0%           4.879
J3033_5.RCP         53          53       53       0.0%           5.200
J3033_6.RCP         59          59       59       0.0%           1.133
J3033_7.RCP         58          58       58       0.0%           0.033
J3033_8.RCP         61          61       61       0.0%          11.007
J3033_9.RCP         65          65       65       0.0%          13.118
J3034_1.RCP         68          68       68       0.0%           5.296
J3034_10.RCP        47          47       47       0.0%           0.035
J3034_2.RCP         44          44       44       0.0%           0.355
J3034_3.RCP         69          69       69       0.0%           0.561
J3034_4.RCP         67          67       67       0.0%           0.030
J3034_5.RCP         63          63       63       0.0%           3.000
J3034_6.RCP         52          52       52       0.0%           1.570
J3034_7.RCP         58          58       58       0.0%           5.559
J3034_8.RCP         58          58       58       0.0%           3.770
J3034_9.RCP         60          60       60       0.0%           0.033
J3035_1.RCP         57          57       57       0.0%           0.029
J3035_10.RCP        59          59       59       0.0%           1.550
J3035_2.RCP         53          53       53       0.0%           0.032
J3035_3.RCP         60          60       60       0.0%           0.032
J3035_4.RCP         50          50       50       0.0%           6.021
J3035_5.RCP         60          60       60       0.0%           0.038
J3035_6.RCP         58          58       58       0.0%           0.405
J3035_7.RCP         61          61       61       0.0%           0.140
J3035_8.RCP         63          63       63       0.0%           0.040
J3035_9.RCP         59          59       59       0.0%           1.065
J3036_1.RCP         66          66       66       0.0%           0.055
J3036_10.RCP        59          59       59       0.0%           0.058
J3036_2.RCP         44          44       44       0.0%           0.041
J3036_3.RCP         61          61       61       0.0%           0.033
J3036_4.RCP         59          59       59       0.0%           0.048
J3036_5.RCP         64          64       64       0.0%           0.031
J3036_6.RCP         46          46       46       0.0%           0.029
J3036_7.RCP         56          56       56       0.0%           0.031
J3036_8.RCP         63          63       63       0.0%           0.033
J3036_9.RCP         59          59       59       0.0%           0.032
J3037_1.RCP         80          46       79       1.3%          60.058
J3037_10.RCP        86          60       81       6.2%          60.112
J3037_2.RCP         71          49       69       2.9%          60.153
J3037_3.RCP         89          52       81       9.9%          60.186
J3037_4.RCP         86          62       83       3.6%          60.184
J3037_5.RCP         80          80       80       0.0%          40.803
J3037_6.RCP         73          50       73       0.0%          60.120
J3037_7.RCP         95          54       92       3.3%          60.225
J3037_8.RCP         80          57       72      11.1%          60.134
J3037_9.RCP         57          46       57       0.0%          60.195
J3038_1.RCP         48          48       48       0.0%           2.614
J3038_10.RCP        60          60       60       0.0%           3.003
J3038_2.RCP         54          54       54       0.0%          23.654
J3038_3.RCP         59          59       59       0.0%          10.256
J3038_4.RCP         59          59       59       0.0%           1.116
J3038_5.RCP         71          71       71       0.0%          32.890
J3038_6.RCP         63          63       63       0.0%           0.058
J3038_7.RCP         65          65       65       0.0%          11.277
J3038_8.RCP         61          61       61       0.0%           8.063
J3038_9.RCP         63          63       63       0.0%           6.707
J3039_1.RCP         55          55       55       0.0%           0.038
J3039_10.RCP        60          60       60       0.0%           3.877
J3039_2.RCP         54          54       54       0.0%           0.033
J3039_3.RCP         54          54       54       0.0%           1.010
J3039_4.RCP         53          53       53       0.0%           0.030
J3039_5.RCP         55          55       55       0.0%           0.030
J3039_6.RCP         69          69       69       0.0%           0.069
J3039_7.RCP         56          56       56       0.0%          11.653
J3039_8.RCP         67          67       67       0.0%           0.039
J3039_9.RCP         64          64       64       0.0%           3.806
J303_1.RCP          72          72       72       0.0%           0.034
J303_10.RCP         59          59       59       0.0%          23.870
J303_2.RCP          40          39       40       0.0%          60.060
J303_3.RCP          57          57       57       0.0%           0.079
J303_4.RCP          98          98       98       0.0%           0.033
J303_5.RCP          53          46       53       0.0%          60.039
J303_6.RCP          54          54       54       0.0%           1.231
J303_7.RCP          48          48       48       0.0%           0.036
J303_8.RCP          54          54       54       0.0%           0.031
J303_9.RCP          65          60       65       0.0%          60.042
J3040_1.RCP         51          51       51       0.0%           0.077
J3040_10.RCP        51          51       51       0.0%           0.029
J3040_2.RCP         56          56       56       0.0%           0.029
J3040_3.RCP         57          57       57       0.0%           0.031
J3040_4.RCP         57          57       57       0.0%           0.029
J3040_5.RCP         65          65       65       0.0%           0.030
J3040_6.RCP         60          60       60       0.0%           0.029
J3040_7.RCP         46          46       46       0.0%           0.028
J3040_8.RCP         57          57       57       0.0%           0.029
J3040_9.RCP         64          64       64       0.0%           0.029
J3041_1.RCP         88          50       86       2.3%          60.101
J3041_10.RCP       114          59       99      15.2%          60.142
J3041_2.RCP         93          49       89       4.5%          60.140
J3041_3.RCP         94          59       85      10.6%          60.191
J3041_4.RCP         81          47       78       3.8%          60.298
J3041_5.RCP        100          63       99       1.0%          60.190
J3041_6.RCP        111          65      103       7.8%          60.168
J3041_7.RCP         99          56       92       7.6%          60.144
J3041_8.RCP         92          55       88       4.5%          60.156
J3041_9.RCP         93          69       92       1.1%          60.144
J3042_1.RCP         58          58       58       0.0%           0.105
J3042_10.RCP        75          75       75       0.0%           0.030
J3042_2.RCP         50          47       50       0.0%          60.078
J3042_3.RCP         60          60       60       0.0%          55.972
J3042_4.RCP         51          42       49       4.1%          60.183
J3042_5.RCP         52          52       52       0.0%           0.129
J3042_6.RCP         66          66       66       0.0%          10.107
J3042_7.RCP         66          65       66       0.0%          60.307
J3042_8.RCP         82          67       82       0.0%          60.147
J3042_9.RCP         61          59       60       1.7%          60.805
J3043_1.RCP         56          53       55       1.8%          60.181
J3043_10.RCP        60          60       60       0.0%           1.996
J3043_2.RCP         43          43       43       0.0%           1.680
J3043_3.RCP         57          57       57       0.0%           3.717
J3043_4.RCP         67          67       67       0.0%           0.050
J3043_5.RCP         66          62       64       3.1%          60.105
J3043_6.RCP         58          58       58       0.0%           9.263
J3043_7.RCP         52          52       52       0.0%           0.261
J3043_8.RCP         62          62       62       0.0%           4.324
J3043_9.RCP         57          57       57       0.0%           3.286
J3044_1.RCP         50          50       50       0.0%           0.036
J3044_10.RCP        63          63       63       0.0%           0.029
J3044_2.RCP         54          54       54       0.0%           0.029
J3044_3.RCP         51          51       51       0.0%           0.032
J3044_4.RCP         57          57       57       0.0%           0.027
J3044_5.RCP         55          55       55       0.0%           0.031
J3044_6.RCP         56          56       56       0.0%           0.029
J3044_7.RCP         42          42       42       0.0%           0.032
J3044_8.RCP         49          49       49       0.0%           0.029
J3044_9.RCP         64          64       64       0.0%           0.030
J3045_1.RCP         91          53       82      11.0%          60.070
J3045_10.RCP        90          58       90       0.0%          60.195
J3045_2.RCP        128          63      125       2.4%          60.292
J3045_3.RCP        104          57       92      13.0%          60.224
J3045_4.RCP         88          59       84       4.8%          60.161
J3045_5.RCP         89          58       86       3.5%          60.372
J3045_6.RCP        140          70      129       8.5%          60.387
J3045_7.RCP        106          72      101       5.0%          60.158
J3045_8.RCP         95          65       94       1.1%          60.147
J3045_9.RCP         90          50       82       9.8%          60.154
J3046_1.RCP         60          58       59       1.7%          60.201
J3046_10.RCP        56          46       55       1.8%          60.311
J3046_2.RCP         67          64       67       0.0%          60.175
J3046_3.RCP         66          64       65       1.5%          60.183
J3046_4.RCP         64          64       64       0.0%          50.722
J3046_5.RCP         57          56       57       0.0%          60.185
J3046_6.RCP         60          56       59       1.7%          60.209
J3046_7.RCP         61          47       59       3.4%          60.177
J3046_8.RCP         58          58       58       0.0%          55.231
J3046_9.RCP         49          45       49       0.0%          60.163
J3047_1.RCP         58          58       58       0.0%           0.350
J3047_10.RCP        60          57       60       0.0%          60.102
J3047_2.RCP         59          59       59       0.0%           0.132
J3047_3.RCP         55          55       55       0.0%           0.030
J3047_4.RCP         49          49       49       0.0%           5.588
J3047_5.RCP         47          47       47       0.0%          11.631
J3047_6.RCP         54          50       53       1.9%          60.093
J3047_7.RCP         66          60       66       0.0%          60.159
J3047_8.RCP         48          48       48       0.0%           0.106
