
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  CPU-Time[sec.]
J3036_10.RCP        59          59       59       0.0%           0.028
J3036_2.RCP         44          44       44       0.0%           0.031
J3036_3.RCP         61          61       61       0.0%           0.028
J3036_4.RCP         59          59       59       0.0%           0.028
J3036_5.RCP         64          64       64       0.0%           0.030
J3036_6.RCP         46          46       46       0.0%           0.026
J3036_7.RCP         56          56       56       0.0%           0.027
J3036_8.RCP         63          63       63       0.0%           0.028
J3036_9.RCP         59          59       59       0.0%           0.031
J3037_1.RCP         92          46       79      16.5%           1.001
J3037_10.RCP        94          60       81      16.0%           1.002
J3037_2.RCP         78          49       69      13.0%           1.002
J3037_3.RCP         94          52       81      16.0%           1.002
J3037_4.RCP         94          62       83      13.3%           1.001
J3037_5.RCP         99          59       80      23.8%           1.001
J3037_6.RCP         90          50       73      23.3%           1.003
J3037_7.RCP        108          54       92      17.4%           1.001
J3037_8.RCP         88          57       72      22.2%           1.001
J3037_9.RCP         67          46       57      17.5%           1.002
J3038_1.RCP         48          46       48       0.0%           1.002
J3038_10.RCP        60          57       60       0.0%           1.002
J3038_2.RCP         56          50       54       3.7%           1.002
J3038_3.RCP         60          53       59       1.7%           1.001
J3038_4.RCP         59          56       59       0.0%           1.002
J3038_5.RCP         77          62       71       8.5%           1.001
J3038_6.RCP         66          63       63       4.8%           1.001
J3038_7.RCP         68          63       65       4.6%           1.002
J3038_8.RCP         62          53       61       1.6%           1.003
J3038_9.RCP         64          56       63       1.6%           1.002
J3039_1.RCP         55          55       55       0.0%           0.143
J3039_10.RCP        60          58       60       0.0%           1.001
J3039_2.RCP         54          54       54       0.0%           0.036
J3039_3.RCP         57          53       54       5.6%           1.002
J3039_4.RCP         53          53       53       0.0%           0.332
J3039_5.RCP         55          55       55       0.0%           0.817
J3039_6.RCP         69          69       69       0.0%           0.083
J3039_7.RCP         56          49       56       0.0%           1.017
J3039_8.RCP         67          67       67       0.0%           0.038
J3039_9.RCP         65          58       64       1.6%           1.001
J303_1.RCP          72          72       72       0.0%           0.292
J303_10.RCP         60          57       59       1.7%           1.001
J303_2.RCP          40          39       40       0.0%           1.002
J303_3.RCP          57          57       57       0.0%           0.052
J303_4.RCP          98          98       98       0.0%           0.044
J303_5.RCP          53          46       53       0.0%           1.002
J303_6.RCP          60          53       54      11.1%           1.001
J303_7.RCP          48          48       48       0.0%           0.045
J303_8.RCP          54          54       54       0.0%           0.035
J303_9.RCP          65          60       65       0.0%           1.001
J3040_1.RCP         51          51       51       0.0%           0.032
J3040_10.RCP        51          51       51       0.0%           0.028
J3040_2.RCP         56          56       56       0.0%           0.031
J3040_3.RCP         57          57       57       0.0%           0.030
J3040_4.RCP         57          57       57       0.0%           0.032
J3040_5.RCP         65          65       65       0.0%           0.032
J3040_6.RCP         60          60       60       0.0%           0.027
