
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  NodeCount  CPU-Time[sec.]
J3024_1.RCP         53          53       53       0.0%         32           0.163
J3024_10.RCP        53          53       53       0.0%         32           0.141
J3024_2.RCP         58          58       58       0.0%         32           0.141
J3024_3.RCP         69          69       69       0.0%         32           0.139
J3024_4.RCP         53          53       53       0.0%         32           0.137
J3024_5.RCP         51          51       51       0.0%         32           0.138
J3024_6.RCP         56          56       56       0.0%         32           0.139
J3024_7.RCP         44          44       44       0.0%         32           0.138
J3024_8.RCP         38          38       38       0.0%         32           0.145
J3024_9.RCP         43          43       43       0.0%         32           0.139
J3025_1.RCP         99          63       93       6.5%      14361          60.037
J3025_10.RCP        62          47       58       6.9%      14907          60.083
J3025_2.RCP         81          43       75       8.0%      15695          60.067
J3025_3.RCP         82          44       76       7.9%      13900          60.094
J3025_4.RCP         85          48       81       4.9%      14503          60.068
J3025_5.RCP         77          45       72       6.9%      15456          60.424
J3025_6.RCP         61          41       58       5.2%      14246          60.106
J3025_7.RCP        106          59       95      11.6%      14775          60.112
J3025_8.RCP         84          38       69      21.7%      14703          60.069
J3025_9.RCP        101          50       84      20.2%      15086          60.097
J3026_1.RCP         59          59       59       0.0%        124           0.786
J3026_10.RCP        50          47       49       2.0%      13220          60.052
J3026_2.RCP         40          40       40       0.0%         32           0.194
J3026_3.RCP         58          58       58       0.0%         32           0.148
J3026_4.RCP         62          62       62       0.0%       2290           9.641
J3026_5.RCP         85          64       74      14.9%      14694          60.030
J3026_6.RCP         54          49       53       1.9%      14408          60.138
J3026_7.RCP         56          56       56       0.0%        461           2.041
J3026_8.RCP         66          63       66       0.0%      14235          60.085
J3026_9.RCP         45          41       43       4.7%      13776          60.129
J3027_1.RCP         43          43       43       0.0%       2549          11.241
J3027_10.RCP        62          62       62       0.0%         32           0.148
J3027_2.RCP         58          58       58       0.0%         32           0.146
J3027_3.RCP         60          60       60       0.0%         32           0.133
J3027_4.RCP         64          64       64       0.0%         32           0.139
J3027_5.RCP         49          49       49       0.0%         39           0.175
J3027_6.RCP         59          59       59       0.0%         32           0.140
J3027_7.RCP         49          46       49       0.0%      13678          60.050
J3027_8.RCP         66          66       66       0.0%         32           0.182
J3027_9.RCP         55          55       55       0.0%         32           0.141
J3028_1.RCP         69          69       69       0.0%         32           0.140
J3028_10.RCP        59          59       59       0.0%         32           0.139
J3028_2.RCP         57          57       57       0.0%         32           0.142
J3028_3.RCP         40          40       40       0.0%         32           0.140
J3028_4.RCP         49          49       49       0.0%         32           0.134
J3028_5.RCP         73          73       73       0.0%         32           0.132
J3028_6.RCP         55          55       55       0.0%         32           0.140
J3028_7.RCP         48          48       48       0.0%         32           0.140
J3028_8.RCP         53          53       53       0.0%         32           0.148
J3028_9.RCP         62          62       62       0.0%         32           0.140
J3029_1.RCP         90          62       85       5.9%      13134          60.039
J3029_10.RCP        78          51       76       2.6%      13838          60.082
J3029_2.RCP        105          55       90      16.7%      14246          60.074
J3029_3.RCP         82          45       78       5.1%      14540          60.075
J3029_4.RCP        107          54      103       3.9%      14787          60.074
J3029_5.RCP        107          53       98       9.2%      13151          60.103
J3029_6.RCP        105          43       92      14.1%      14498          60.104
J3029_7.RCP         77          41       73       5.5%      13509          60.079
J3029_8.RCP         84          50       80       5.0%      13341          60.082
J3029_9.RCP        106          52       97       9.3%      13941          60.083
J302_1.RCP          38          34       38       0.0%      13788          60.088
J302_10.RCP         43          41       43       0.0%      13095          60.077
J302_2.RCP          51          46       51       0.0%      13343          60.089
J302_3.RCP          45          43       43       4.7%      13732          60.069
J302_4.RCP          43          42       43       0.0%      13660          60.047
J302_5.RCP          51          51       51       0.0%         41           0.205
J302_6.RCP          47          47       47       0.0%         32           0.143
J302_7.RCP          47          47       47       0.0%         32           0.144
J302_8.RCP          54          50       54       0.0%      12597          60.041
J302_9.RCP          54          51       54       0.0%      13863          60.073
J3030_1.RCP         48          40       47       2.1%      13225          60.097
J3030_10.RCP        54          43       53       1.9%      14298          60.096
J3030_2.RCP         71          65       68       4.4%      14371          60.090
J3030_3.RCP         58          53       55       5.5%      14503          60.086
J3030_4.RCP         53          50       53       0.0%      14269          60.086
J3030_5.RCP         57          52       54       5.6%      13994          60.090
J3030_6.RCP         65          54       62       4.8%      13856          60.107
J3030_7.RCP         70          63       68       2.9%      13077          60.060
J3030_8.RCP         46          40       46       0.0%      13411          60.059
J3030_9.RCP         47          44       46       2.2%      13358          60.078
J3031_1.RCP         43          43       43       0.0%         32           0.198
J3031_10.RCP        56          49       55       1.8%      13832          60.030
J3031_2.RCP         63          63       63       0.0%         32           0.178
J3031_3.RCP         58          58       58       0.0%         32           0.149
J3031_4.RCP         50          50       50       0.0%         32           0.153
J3031_5.RCP         54          48       52       3.8%      14285          60.049
