
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  CPU-Time[sec.]
J305_6.RCP          67          47       64       4.7%          60.132
J305_7.RCP          85          43       76      11.8%          60.248
J305_8.RCP          74          53       67      10.4%          60.119
J305_9.RCP          50          38       49       2.0%          60.289
J306_1.RCP          60          54       59       1.7%          60.342
J306_10.RCP         62          58       61       1.6%          60.202
J306_2.RCP          55          50       51       7.8%          60.149
J306_3.RCP          48          45       48       0.0%          60.143
J306_4.RCP          46          36       42       9.5%          60.177
J306_5.RCP          67          57       67       0.0%          60.185
J306_6.RCP          37          35       37       0.0%          60.285
J306_7.RCP          49          43       46       6.5%          60.217
J306_8.RCP          40          39       39       2.6%          60.188
J306_9.RCP          51          48       51       0.0%          60.170
J307_1.RCP          55          55       55       0.0%           4.130
J307_10.RCP         49          43       49       0.0%          60.044
J307_2.RCP          42          42       42       0.0%           4.355
J307_3.RCP          42          42       42       0.0%           7.355
J307_4.RCP          44          44       44       0.0%           9.979
J307_5.RCP          44          41       44       0.0%          60.063
J307_6.RCP          35          35       35       0.0%           0.804
J307_7.RCP          50          50       50       0.0%           0.030
J307_8.RCP          44          44       44       0.0%          24.936
J307_9.RCP          60          60       60       0.0%          45.550
J308_1.RCP          44          44       44       0.0%           0.069
J308_10.RCP         67          67       67       0.0%           0.031
J308_2.RCP          51          51       51       0.0%           0.028
J308_3.RCP          53          53       53       0.0%           0.033
J308_4.RCP          48          48       48       0.0%           0.028
J308_5.RCP          58          58       58       0.0%           0.027
J308_6.RCP          47          47       47       0.0%           0.030
J308_7.RCP          41          41       41       0.0%           0.031
J308_8.RCP          51          51       51       0.0%           0.028
J308_9.RCP          39          39       39       0.0%           0.032
J309_1.RCP          95          55       83      14.5%          60.063
J309_10.RCP        100          63       88      13.6%          60.170
J309_2.RCP          97          45       92       5.4%          60.142
J309_3.RCP          81          48       68      19.1%          60.162
J309_4.RCP          72          52       71       1.4%          60.183
J309_5.RCP          75          53       70       7.1%          60.154
J309_6.RCP          69          47       59      16.9%          60.177
J309_7.RCP          70          41       63      11.1%          60.219
J309_8.RCP          92          54       91       1.1%          60.168
J309_9.RCP          69          37       63       9.5%          60.152

Average Summary
Instance  Makespan  Lowerbound  Optimal  GapOpt[%]  CPU-Time[sec.]
------------------------------------------------------------------
Average     60.317      53.087   58.992     1.854%          25.464

Comparison Summary
Instances total: 480
Solved: 355/480 (74.0%)
Mean gap to optimal: 1.85%
Note: branching order used = policy
Note: branching scheme used = serial
Note: search strategy used = ubs

Note: lower bound used = lb_cp
Note: dominance used = set_based
Note: optimal baseline JSON used = data/baseline/j30_opt.json
