
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  CPU-Time[sec.]
J3026_10.RCP        51          47       49       4.1%          60.126
J3026_2.RCP         40          40       40       0.0%           0.093
J3026_3.RCP         58          58       58       0.0%           0.493
J3026_4.RCP         62          62       62       0.0%           0.091
J3026_5.RCP         74          64       74       0.0%          60.041
J3026_6.RCP         53          49       53       0.0%          60.086
J3026_7.RCP         58          56       56       3.6%          60.257
J3026_8.RCP         66          63       66       0.0%          60.250
J3026_9.RCP         47          41       43       9.3%          60.113
J3027_1.RCP         43          43       43       0.0%           1.415
J3027_10.RCP        62          62       62       0.0%           0.048
J3027_2.RCP         58          58       58       0.0%           0.055
J3027_3.RCP         60          60       60       0.0%           0.098
J3027_4.RCP         64          64       64       0.0%           0.567
J3027_5.RCP         49          49       49       0.0%           3.962
J3027_6.RCP         59          59       59       0.0%           0.354
J3027_7.RCP         49          46       49       0.0%          60.095
J3027_8.RCP         66          66       66       0.0%           0.257
J3027_9.RCP         55          55       55       0.0%           0.144
J3028_1.RCP         69          69       69       0.0%           0.039
J3028_10.RCP        59          59       59       0.0%           0.034
J3028_2.RCP         57          57       57       0.0%           0.043
J3028_3.RCP         40          40       40       0.0%           0.039
J3028_4.RCP         49          49       49       0.0%           0.041
J3028_5.RCP         73          73       73       0.0%           0.035
J3028_6.RCP         55          55       55       0.0%           0.051
J3028_7.RCP         48          48       48       0.0%           0.036
J3028_8.RCP         53          53       53       0.0%           0.077
J3028_9.RCP         62          62       62       0.0%           0.049
J3029_1.RCP         96          62       85      12.9%          60.072
J3029_10.RCP        80          51       76       5.3%          60.096
J3029_2.RCP        105          55       90      16.7%          60.178
J3029_3.RCP         83          45       78       6.4%          60.166
J3029_4.RCP        115          54      103      11.7%          60.206
J3029_5.RCP        121          53       98      23.5%          60.154
J3029_6.RCP        104          43       92      13.0%          60.169
J3029_7.RCP         80          41       73       9.6%          60.164
J3029_8.RCP         93          50       80      16.2%          60.203
J3029_9.RCP        116          52       97      19.6%          60.064
J302_1.RCP          38          34       38       0.0%          60.129
J302_10.RCP         45          41       43       4.7%          60.161
J302_2.RCP          51          46       51       0.0%          60.178
J302_3.RCP          43          43       43       0.0%           0.525
J302_4.RCP          43          43       43       0.0%          46.237
J302_5.RCP          51          51       51       0.0%           2.211
J302_6.RCP          47          47       47       0.0%           0.046
J302_7.RCP          47          47       47       0.0%           0.088
J302_8.RCP          54          50       54       0.0%          60.039
J302_9.RCP          54          54       54       0.0%          54.530
J3030_1.RCP         53          40       47      12.8%          60.191
J3030_10.RCP        56          43       53       5.7%          60.363
J3030_2.RCP         73          65       68       7.4%          60.191
J3030_3.RCP         57          53       55       3.6%          60.084
J3030_4.RCP         54          50       53       1.9%          60.178
J3030_5.RCP         55          52       54       1.9%          60.249
J3030_6.RCP         66          54       62       6.5%          60.195
J3030_7.RCP         69          63       68       1.5%          60.287
J3030_8.RCP         47          40       46       2.2%          60.201
J3030_9.RCP         47          44       46       2.2%          60.068
J3031_1.RCP         43          43       43       0.0%           0.088
J3031_10.RCP        56          49       55       1.8%          60.031
J3031_2.RCP         63          63       63       0.0%           0.074
J3031_3.RCP         58          58       58       0.0%           0.268
J3031_4.RCP         50          50       50       0.0%           0.040
J3031_5.RCP         55          48       52       5.8%          60.034
J3031_6.RCP         53          53       53       0.0%           0.518
J3031_7.RCP         61          61       61       0.0%           0.487
J3031_8.RCP         58          58       58       0.0%           0.315
J3031_9.RCP         51          46       50       2.0%          60.055
J3032_1.RCP         61          61       61       0.0%           0.083
J3032_10.RCP        51          51       51       0.0%           0.045
J3032_2.RCP         60          60       60       0.0%           0.038
J3032_3.RCP         57          57       57       0.0%           0.041
J3032_4.RCP         68          68       68       0.0%           0.040
J3032_5.RCP         54          54       54       0.0%           0.035
J3032_6.RCP         44          44       44       0.0%           0.042
J3032_7.RCP         35          35       35       0.0%           0.031
J3032_8.RCP         54          54       54       0.0%           0.041
J3032_9.RCP         65          65       65       0.0%           0.038
J3033_1.RCP         65          65       65       0.0%           7.678
J3033_10.RCP        53          53       53       0.0%           0.101
J3033_2.RCP         60          60       60       0.0%           9.489
J3033_3.RCP         55          55       55       0.0%          44.978
J3033_4.RCP         77          77       77       0.0%           7.043
J3033_5.RCP         53          53       53       0.0%           9.170
J3033_6.RCP         59          59       59       0.0%           0.999
J3033_7.RCP         58          58       58       0.0%           0.104
J3033_8.RCP         61          61       61       0.0%          30.458
J3033_9.RCP         65          65       65       0.0%          29.225
J3034_1.RCP         68          68       68       0.0%           6.748
J3034_10.RCP        47          47       47       0.0%           0.324
J3034_2.RCP         44          44       44       0.0%           0.282
J3034_3.RCP         69          69       69       0.0%           0.613
J3034_4.RCP         67          67       67       0.0%           0.047
J3034_5.RCP         63          63       63       0.0%           3.181
J3034_6.RCP         52          52       52       0.0%           1.625
J3034_7.RCP         58          58       58       0.0%          11.109
J3034_8.RCP         58          58       58       0.0%           2.058
J3034_9.RCP         60          60       60       0.0%           0.035
J3035_1.RCP         57          57       57       0.0%           0.079
J3035_10.RCP        59          59       59       0.0%           1.570
J3035_2.RCP         53          53       53       0.0%           0.036
J3035_3.RCP         60          60       60       0.0%           0.062
J3035_4.RCP         50          50       50       0.0%           7.930
J3035_5.RCP         60          60       60       0.0%           0.174
J3035_6.RCP         58          58       58       0.0%           0.266
J3035_7.RCP         61          61       61       0.0%           0.097
J3035_8.RCP         63          63       63       0.0%           0.033
J3035_9.RCP         59          59       59       0.0%           0.888
J3036_1.RCP         66          66       66       0.0%           0.031
J3036_10.RCP        59          59       59       0.0%           0.027
J3036_2.RCP         44          44       44       0.0%           0.030
J3036_3.RCP         61          61       61       0.0%           0.040
J3036_4.RCP         59          59       59       0.0%           0.029
J3036_5.RCP         64          64       64       0.0%           0.030
J3036_6.RCP         46          46       46       0.0%           0.026
J3036_7.RCP         56          56       56       0.0%           0.028
J3036_8.RCP         63          63       63       0.0%           0.028
J3036_9.RCP         59          59       59       0.0%           0.031
J3037_1.RCP         82          46       79       3.8%          60.021
J3037_10.RCP        86          60       81       6.2%          60.056
J3037_2.RCP         73          49       69       5.8%          60.054
J3037_3.RCP         86          52       81       6.2%          60.071
J3037_4.RCP         86          62       83       3.6%          60.075
J3037_5.RCP         90          59       80      12.5%          60.077
J3037_6.RCP         81          50       73      11.0%          60.107
J3037_7.RCP        104          54       92      13.0%          60.068
J3037_8.RCP         77          57       72       6.9%          60.064
