
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  NodeCount  CPU-Time[sec.]
J3027_10.RCP        62          62       62       0.0%         32           0.124
J3027_2.RCP         58          58       58       0.0%         97           0.394
J3027_3.RCP         60          60       60       0.0%        169           0.638
J3027_4.RCP         64          64       64       0.0%        626           2.479
J3027_5.RCP         49          49       49       0.0%         39           0.172
J3027_6.RCP         59          59       59       0.0%        142           0.555
J3027_7.RCP         51          46       49       4.1%      14027          60.030
J3027_8.RCP         66          66       66       0.0%       2533          10.265
J3027_9.RCP         55          55       55       0.0%         32           0.137
J3028_1.RCP         69          69       69       0.0%         32           0.131
J3028_10.RCP        59          59       59       0.0%         32           0.130
J3028_2.RCP         57          57       57       0.0%         32           0.129
J3028_3.RCP         40          40       40       0.0%         32           0.136
J3028_4.RCP         49          49       49       0.0%         32           0.134
J3028_5.RCP         73          73       73       0.0%         32           0.121
J3028_6.RCP         55          55       55       0.0%         32           0.128
J3028_7.RCP         48          48       48       0.0%         32           0.136
J3028_8.RCP         53          53       53       0.0%         32           0.134
J3028_9.RCP         62          62       62       0.0%         32           0.120
J3029_1.RCP         93          62       85       9.4%      13321          60.033
J3029_10.RCP        80          51       76       5.3%      14049          60.086
J3029_2.RCP        102          55       90      13.3%      13595          60.087
J3029_3.RCP         81          45       78       3.8%      13410          60.087
J3029_4.RCP        111          54      103       7.8%      15320          60.087
J3029_5.RCP        108          53       98      10.2%      13736          60.067
J3029_6.RCP        105          43       92      14.1%      13831          60.088
J3029_7.RCP         78          41       73       6.8%      12658          60.078
J3029_8.RCP         94          50       80      17.5%      12019          60.076
J3029_9.RCP        114          52       97      17.5%      13576          60.076
J302_1.RCP          41          34       38       7.9%      12174          60.082
J302_10.RCP         43          41       43       0.0%      12979          60.055
J302_2.RCP          53          46       51       3.9%      12997          60.059
J302_3.RCP          43          43       43       0.0%       1294           5.764
J302_4.RCP          43          42       43       0.0%      13803          60.037
J302_5.RCP          51          51       51       0.0%         32           0.168
J302_6.RCP          47          47       47       0.0%        550           2.195
J302_7.RCP          47          47       47       0.0%         32           0.141
J302_8.RCP          60          50       54      11.1%      13274          60.021
J302_9.RCP          54          51       54       0.0%      13347          60.056
J3030_1.RCP         49          40       47       4.3%      13996          60.081
J3030_10.RCP        54          43       53       1.9%      13838          60.104
J3030_2.RCP         76          65       68      11.8%      14471          60.071
J3030_3.RCP         63          53       55      14.5%      13811          60.090
J3030_4.RCP         53          50       53       0.0%      14349          60.105
J3030_5.RCP         56          52       54       3.7%      13914          60.112
J3030_6.RCP         65          54       62       4.8%      14090          60.073
J3030_7.RCP         74          63       68       8.8%      15211          60.091
J3030_8.RCP         47          40       46       2.2%      13996          60.078
J3030_9.RCP         47          44       46       2.2%      13796          60.119
J3031_1.RCP         43          43       43       0.0%         32           0.191
J3031_10.RCP        58          49       55       5.5%      13897          60.043
J3031_2.RCP         63          63       63       0.0%         32           0.160
J3031_3.RCP         58          58       58       0.0%         32           0.148
J3031_4.RCP         50          50       50       0.0%         32           0.140
J3031_5.RCP         52          48       52       0.0%      13302          60.030
J3031_6.RCP         53          53       53       0.0%         32           0.192
J3031_7.RCP         61          61       61       0.0%         68           0.343
J3031_8.RCP         58          58       58       0.0%         32           0.154
J3031_9.RCP         51          46       50       2.0%      12226          60.043
J3032_1.RCP         61          61       61       0.0%         32           0.186
J3032_10.RCP        51          51       51       0.0%         32           0.165
J3032_2.RCP         60          60       60       0.0%         32           0.164
J3032_3.RCP         57          57       57       0.0%         32           0.161
J3032_4.RCP         68          68       68       0.0%         32           0.164
J3032_5.RCP         54          54       54       0.0%         32           0.163
J3032_6.RCP         44          44       44       0.0%         32           0.154
J3032_7.RCP         35          35       35       0.0%         32           0.157
J3032_8.RCP         54          54       54       0.0%         32           0.165
J3032_9.RCP         65          65       65       0.0%         32           0.149
J3033_1.RCP         65          65       65       0.0%       2845          12.828
J3033_10.RCP        53          53       53       0.0%        366           1.636
J3033_2.RCP         60          60       60       0.0%       6468          29.181
J3033_3.RCP         55          42       55       0.0%      12365          60.054
J3033_4.RCP         77          77       77       0.0%       5333          23.032
J3033_5.RCP         53          53       53       0.0%       9665          39.448
J3033_6.RCP         59          59       59       0.0%       2502          11.328
J3033_7.RCP         58          58       58       0.0%         32           0.157
J3033_8.RCP         61          61       61       0.0%      13951          59.163
J3033_9.RCP         67          55       65       3.1%      13346          60.074
J3034_1.RCP         68          68       68       0.0%       5926          25.421
J3034_10.RCP        47          47       47       0.0%         74           0.447
J3034_2.RCP         44          44       44       0.0%        452           1.939
J3034_3.RCP         69          69       69       0.0%        657           2.872
J3034_4.RCP         67          67       67       0.0%         49           0.214
J3034_5.RCP         63          63       63       0.0%       3308          15.128
J3034_6.RCP         52          52       52       0.0%       1813           8.201
J3034_7.RCP         58          58       58       0.0%       6152          27.771
J3034_8.RCP         58          58       58       0.0%       3475          15.166
J3034_9.RCP         60          60       60       0.0%         32           0.124
J3035_1.RCP         57          57       57       0.0%         32           0.117
J3035_10.RCP        59          59       59       0.0%       1745           7.445
J3035_2.RCP         53          53       53       0.0%         32           0.148
J3035_3.RCP         60          60       60       0.0%        106           0.462
J3035_4.RCP         50          50       50       0.0%       3011          13.942
J3035_5.RCP         60          60       60       0.0%        185           0.836
J3035_6.RCP         58          58       58       0.0%        356           1.538
J3035_7.RCP         61          61       61       0.0%        140           0.589
J3035_8.RCP         63          63       63       0.0%         32           0.144
J3035_9.RCP         59          59       59       0.0%        826           3.640
J3036_1.RCP         66          66       66       0.0%         32           0.141
J3036_10.RCP        59          59       59       0.0%         32           0.140
J3036_2.RCP         44          44       44       0.0%         32           0.145
J3036_3.RCP         61          61       61       0.0%         32           0.138
J3036_4.RCP         59          59       59       0.0%         32           0.140
J3036_5.RCP         64          64       64       0.0%         32           0.141
J3036_6.RCP         46          46       46       0.0%         32           0.145
